x_m,y_m,height_m
1.550927186279296421e+01,-4.049116655578613688e+01,1.273691429879298509e+00
2.963927186279295967e+01,-3.391116655578613148e+01,1.273176579712214318e+00
6.623927186279297530e+01,-1.844116655578613262e+01,1.272769708072575945e+00
2.886927186279296365e+01,-4.027116655578613091e+01,1.271578468528847816e+00
3.403927186279296535e+01,-3.463116655578613745e+01,1.268689779861454925e+00
-1.780728137207034933e+00,-4.074116655578613688e+01,1.268282682524498606e+00
2.350927186279296421e+01,-4.075116655578613489e+01,1.266557402390080744e+00
2.737927186279296876e+01,-3.751116655578613290e+01,1.266517949945897836e+00
1.377927186279296734e+01,-4.017116655578613660e+01,1.265908741679730110e+00
2.482927186279297160e+01,-3.931116655578613006e+01,1.265709881666687853e+00
1.766927186279296791e+01,-4.042116655578613660e+01,1.264795481326679738e+00
2.400927186279296421e+01,-4.001116655578613290e+01,1.264437470815155340e+00
2.855927186279296137e+01,-3.382116655578613518e+01,1.262987833839814167e+00
1.694927186279296194e+01,3.849883344421386511e+01,1.261031716608840503e+00
3.096927186279297217e+01,-3.313116655578613745e+01,1.260862098555993960e+00
3.459927186279296762e+01,-3.462116655578613234e+01,1.259252593441027024e+00
3.606927186279296649e+01,-3.402116655578613091e+01,1.258952585795304779e+00
2.687927186279296876e+01,-3.905116655578613205e+01,1.258755962942109452e+00
2.833927186279296251e+01,-3.913116655578613035e+01,1.257302602100542011e+00
3.431927186279296649e+01,-3.556116655578613006e+01,1.254446407938371033e+00
-6.730728137207037776e+00,-4.109116655578613120e+01,1.254395654457683529e+00
3.492927186279296592e+01,-3.466116655578613148e+01,1.252368769415937777e+00
6.631927186279295938e+01,-1.587116655578613234e+01,1.250578995964796825e+00
6.613927186279295256e+01,-1.809116655578613475e+01,1.249838223464588838e+00
2.880927186279296137e+01,-4.070116655578613063e+01,1.249171383425223603e+00
2.900927186279296421e+01,-4.109116655578613120e+01,1.246442271838774651e+00
3.412927186279296876e+01,-3.409116655578613120e+01,1.244946222740065611e+00
1.194927186279296194e+01,-4.060116655578613631e+01,1.244396857250194000e+00
3.419271862792967909e+00,-4.069116655578613262e+01,1.243911231579297505e+00
2.727927186279296023e+01,-3.960116655578613631e+01,1.243820416958249186e+00
3.404927186279297047e+01,-3.536116655578613432e+01,1.243805546477680046e+00
2.832927186279297160e+01,-3.826116655578613290e+01,1.242554860936982752e+00
3.265927186279296990e+01,-3.390116655578613347e+01,1.242442175057860698e+00
2.683927186279296251e+01,-3.962116655578613234e+01,1.242274461749418135e+00
1.741927186279296791e+01,-4.082116655578613518e+01,1.240485595918572770e+00
2.006927186279296649e+01,-4.027116655578613091e+01,1.239669426528147600e+00
3.334927186279296762e+01,-3.473116655578613177e+01,1.239301675984179951e+00
1.432927186279296450e+01,-4.042116655578613660e+01,1.237756176373344230e+00
3.600927186279296421e+01,-3.370116655578613063e+01,1.237016975585393919e+00
2.797927186279296308e+01,-3.995116655578613063e+01,1.236577652059062782e+00
6.602927186279296734e+01,-1.039116655578613191e+01,1.235627025239891097e+00
